name	id	content
Justin Hamilton	/guid/9202a8c04000641f8000000009d54826	
Ted Blackman	/guid/9202a8c04000641f8000000000f27dc8	
Ed Doolan	/guid/9202a8c04000641f8000000000b7af7d	
Jim Connors	/guid/9202a8c04000641f8000000000dd9f6a	
Nancy Skinner	/guid/9202a8c04000641f8000000000e1323f	
Gene Klavan	/guid/9202a8c04000641f8000000006b80e95	
Jérôme Tissot	/guid/9202a8c04000641f8000000006d3476d	Teklab.FM
Brian Hayes	/guid/9202a8c04000641f8000000006b5212e	
Elisabeth Withers	/guid/9202a8c04000641f8000000006cfe557	radioIO Nusoul,radioIO Smooth Jazz
Colette	/guid/9202a8c04000641f8000000006d22870	DI.fm Deep House
Scruff Connors	/guid/9202a8c04000641f8000000006f2073c	
Ijahman Levi	/guid/9202a8c04000641f8000000006d00b55	1.FM Reggaetrade
Randy Bachman	/guid/9202a8c04000641f8000000000097087	
Hanna-McEuen	/guid/9202a8c04000641f8000000000883bc4	1Club.FM: Hit Kicker
Traveling Wilburys	/guid/9202a8c04000641f800000000003d42c	radioIO History of Rock,WXRT,Paradise Tunes
Edwin McCain	/guid/9202a8c04000641f800000000017d009	1Club.FM: AtWork,Big R Radio - Warm 101.6,WZGC,KOIT,Fresh 102.7,KYMX,WEAT Sunny 104.3,Big R Radio - 107.7 The Mix
Loreena McKennitt	/guid/9202a8c04000641f80000000001911c5	Green Mist Radio,Mostly Classical on Sky.fm,New Age on Sky.fm,Radio Paradise,1Club.FM: 95 The Lite
Rebecca St. James	/guid/9202a8c04000641f8000000000281978	Big R Radio - Christian Top 40,Bigloo Christian Radio
Phil Collins	/guid/9202a8c04000641f8000000000120327	Big R Radio - Soft Hits,WCBS 101.1 HD2,WVMV,WOMC,CRIK FM - The Lynx Classic Hits,Big R Radio - Warm 101.6,WZPT,Hits 80s 90s and Now,WZLX,KJKK-FM,Best of the '80s on Sky.fm,WLIF,KZOK,Rock & Roll.fm,radio ffn,WKQC,1Club.FM: AtWork,CRIK FM - The Lynx Retro 80s,KLUV,1Club.FM: 80s (Pop),107 WANS,KKJJ-FM,KOIT,radioIO Lovesongs,radioIO 80s POP,radioIO 90s POP,Living Legends Music,Pop Rock 80's,Radio Rouge,KJAQ-FM,80s And More,WDOK,1Club.FM: 80s (Lite),The Mix Online,KYMX,Atlantic Sound Factory,WEAT Sunny 104.3,.977 The '80s Channel
Janet Parshall	/guid/9202a8c04000641f8000000000922a86	
System of a Down	/guid/9202a8c04000641f8000000000038dd6	Chronix Grit,1.FM X,NETROCK101,WPBZ,KUFO,181-buzz,Retro FM,Big R Radio - Alternative Rock,KROQ,WBCN,WKRK,WHFS 2 HD Radio,1.FM High Voltage,radioIO Todays Rock,ChroniX Aggression
Vicki Sue Robinson	/guid/9202a8c04000641f80000000002a7603	WOMC,Disco Hits,WLIF,1Club.FM: Jammin' Oldies,CRIK FM - The Lynx Disco Classics
ATC	/guid/9202a8c04000641f800000000037c81a	Planet Hits Radio,Playdio
The Band	/guid/9202a8c04000641f800000000003cc8b	WZLX,93.1 Jack FM Los Angeles,1Club.FM: Folk,Technicolor Web of Sound,1.FM 50's & 60's,radioIO Classic Rock,radioIO AltCountry,NeverEndingWonder Radio,2NG - Two Nations Gold
Diana Krall	/guid/9202a8c04000641f8000000000235701	Acoustic Caf.,1Club.FM: 95 The Lite,DaTempo Lounge - SKY.fm,radioIO Vocal Jazz,radioIO Real Jazz
Chuck Blair	/guid/9202a8c04000641f800000000081e9a9	
Peter Warren	/guid/9202a8c04000641f80000000002cf68e	
Crazy Town	/guid/9202a8c04000641f800000000016bddd	207 Live - My90's
Shawn Cosgrove	/guid/9202a8c04000641f80000000009bfdd1	
Steve Inskeep	/guid/9202a8c04000641f800000000060b3cf	
Ray Price	/guid/9202a8c04000641f80000000006d8033	Humboldt 101,radioIO Classic Country,Radio Country,1Club.FM: Classic Country
Dru Hill	/guid/9202a8c04000641f8000000000462f4d	Heaven 1580am,1Club.FM: V101,WZMX
Jim Eason	/guid/9202a8c04000641f800000000062f94e	
Derek Rath	/guid/9202a8c04000641f8000000000ab6fd3	
Soundgarden	/guid/9202a8c04000641f80000000000505fb	Chronix Grit,WXRK,Indie 103.1,KUFO,1.FM X,WQSR,Big R Radio - 90s Alternative,Nvasion Radio,radioIO Grunge,WHFS 2 HD Radio,WKRK,radioIO Rock Mix,Pop Rock 80's,radioIO Todays Rock,WBCN,Live 105 - KITS,WSR Leashed
Spyro Gyra	/guid/9202a8c04000641f800000000022daf9	radioIO Smooth Jazz,GotRadio - Jazz So Smooth,SoulfulSmoothJazz.com
Shalamar	/guid/9202a8c04000641f800000000043eac5	107 WANS,1.FM Euro 80's,radioIO 80s POP,WVEE,Disco Hits,1Club.FM: Studio 54,radioIO Disco Hits,WBAV,CRIK FM - The Lynx Disco Classics
Was (Not Was)	/guid/9202a8c04000641f80000000003f4a36	.977 The '80s Channel,WWRW . The World Wide Radio Web
Richard Blackwood	/guid/9202a8c04000641f8000000000a11b15	
Cool For August	/guid/9202a8c04000641f8000000000a6bad2	Big R Radio - 90s Alternative
Sam Cooke	/guid/9202a8c04000641f8000000000116925	radioIO Roots of Rock,Malt Shop Radio,ACB Radio Interactive,GotRadio - RnB Classics,radioIO Classic RNB,1.FM 50's & 60's,Classic Soul Network,WFE,Ultimate Oldies Channel
Dream Theater	/guid/9202a8c04000641f8000000000085068	ORSRADIO.COM Rock,Big R Radio - 80s Metal FM
Meshuggah	/guid/9202a8c04000641f80000000001ce373	ChroniX Metal,RockRadio1,ChroniX Aggression
