name	id	length	artist	album	lyrics	acquire_webpage	song	date	place	contributions
Chasing a Ghost	/guid/9202a8c04000641f800000000929d073			Talking Through Tin Cans						
Child Meat	/guid/9202a8c04000641f80000000086e7b62		Mind Necrosis Factor	Cruel Emulator						
Raspberry Beret	/guid/9202a8c04000641f80000000098b7fa6			That Skinny Motherfucker With the High Voice?						
Born Under A Bad Sign	/guid/9202a8c04000641f8000000007c66b32		The Smashing Pumpkins							
“From House to House”	/guid/9202a8c04000641f8000000008926f81			Sing Praises to Jehovah						
Jehovah’s Attributes	/guid/9202a8c04000641f8000000008927106			Sing Praises to Jehovah						
Our Paradise: Present and Future	/guid/9202a8c04000641f8000000008927414			Sing Praises to Jehovah						
Mini-Skirt Minnie	/guid/9202a8c04000641f80000000091cf8d6		Rockin' Paradox	Fix Up the Drinks and Bring on the Heartache						
The Dance	/guid/9202a8c04000641f80000000080fc6b0		Royal Noise Brigade	Music to Cruise To						
Nobody	/guid/9202a8c04000641f80000000013748c2	0.0		Breaking Point						
Knights of Cydonia	/guid/9202a8c04000641f8000000000c744a1	368.0	Muse	Smack!,Black Holes and Revelations						
Wrong Way	/guid/9202a8c04000641f8000000001209ef4	259.333	Creed	Human Clay,End of Days,Alternative Collection						
Intro	/guid/9202a8c04000641f800000000120a235	68.76		LP						
Bennie and the Jets	/guid/9202a8c04000641f800000000120a72f	313.24								
Over My Shoulder	/guid/9202a8c04000641f800000000120aad2	220.64		Tomorrow the Green Grass						
The Geometry of Shadows, Part 2	/guid/9202a8c04000641f800000000120ad33	207.533		Babylon 5						
Train Tour to Rainbow City	/guid/9202a8c04000641f800000000120afcc	0.0	The Pyramids	Original Ska: All the Hits						
Scavenger Type	/guid/9202a8c04000641f800000000120b12e	432.906		Punk in Drublic						
Television Man	/guid/9202a8c04000641f800000000120b2a1	371.866		Little Creatures						
Tribute to Johnny	/guid/9202a8c04000641f800000000120b502	158.16	The Smashing Pumpkins	Zero						
Take the Long Way Home	/guid/9202a8c04000641f800000000120b985	246.573		The Autobiography of Supertramp						
From Now On	/guid/9202a8c04000641f800000000120b9a8	371.666		The Autobiography of Supertramp						
No Spill Blood	/guid/9202a8c04000641f800000000120bc2c	221.893		Anthology						
La mort n'est qu'une étape (le testament)	/guid/9202a8c04000641f800000000120be39	0.0		Le Testament						
Metamorphose (DJ X remix)	/guid/9202a8c04000641f800000000120c608	0.0	Rick West	Funky Breakz 2 (DJ X)						
Path Finder	/guid/9202a8c04000641f800000000120c9f1	0.0	Crude Infinity	Trancespotting II						
